longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-115.2049,41.4396,29,11547,3239,6522,2082,8.7209,<1H OCEAN,500000
-118.2395,40.5398,44,12694,3197,5473,1389,7.3243,INLAND,398455
-114.9284,38.8388,34,10590,2239,5140,2133,1.2208,NEAR BAY,348550
-123.4456,36.8956,13,7011,2092,3516,979,12.5358,NEAR BAY,500000
-122.3471,36.4206,42,364,61,107,33,13.3032,<1H OCEAN,500000
-123.8878,38.6692,9,7260,1960,2796,1017,10.5462,INLAND,500000
-121.0251,37.6771,42,10390,2044,6526,1952,8.575,NEAR OCEAN,500000
-120.3777,33.1354,31,3257,771,1737,606,14.4503,NEAR OCEAN,500000
-121.5768,37.3675,7,10476,2628,6649,2738,2.6794,INLAND,265441
-115.8803,40.1302,4,4628,1083,2421,833,11.3307,<1H OCEAN,500000
-120.704,36.8669,19,602,87,143,62,2.797,NEAR OCEAN,345745
-121.4788,33.0384,42,8805,1758,1604,672,6.3458,<1H OCEAN,455212
-118.8036,39.941,30,8436,1864,3701,1171,9.1968,<1H OCEAN,500000
-122.9098,34.4428,31,6549,1786,2154,710,11.3192,INLAND,492110
-116.1515,34.981,35,4357,870,1253,419,1.052,NEAR BAY,424382
-123.5881,34.0982,21,10859,3098,6011,2255,4.6484,<1H OCEAN,497961
-114.264,35.654,31,1067,212,355,109,8.5348,INLAND,440344
-116.4577,39.6635,19,13979,3058,4312,1913,8.4602,<1H OCEAN,500000
-122.3191,37.4322,31,8410,2214,4835,1797,9.9268,NEAR OCEAN,500000
-124.2936,34.4759,32,564,126,323,106,5.254,INLAND,334943
-116.016,40.8016,2,7667,2245,2516,953,8.5674,<1H OCEAN,500000
-117.1259,40.8181,52,12224,2919,6921,2277,3.657,<1H OCEAN,397286
-116.8995,40.7334,10,6771,1449,3895,1610,3.6162,INLAND,308443
-116.4676,34.7947,2,13628,1693,4932,1793,9.0719,<1H OCEAN,500000
-123.5933,36.7916,2,779,151,142,36,10.5966,<1H OCEAN,500000
-120.6865,41.8089,24,7874,1369,1187,338,2.6856,INLAND,305455
-123.1658,39.8069,17,8937,2275,3678,1555,2.7191,INLAND,274741
-115.5291,32.8054,32,14217,2239,4578,1659,8.9142,INLAND,484987
-117.9799,33.1629,16,6668,1046,4324,1902,4.7813,<1H OCEAN,450786
-120.9682,36.911,16,4350,670,2332,616,6.4936,INLAND,411238
-123.7004,41.0967,46,13265,1891,7038,2175,6.6105,INLAND,458532
-121.1718,37.6138,39,3239,570,2032,586,3.4997,<1H OCEAN,462552
-121.0266,37.2294,31,4337,1212,2575,928,1.0184,INLAND,212585
-116.8934,33.5415,43,13808,3582,4267,1393,12.9441,<1H OCEAN,500000
-117.8342,38.7237,24,12436,3138,2897,815,11.01,NEAR OCEAN,500000
-115.2827,40.2778,1,12718,3351,6650,2517,10.6675,INLAND,500000
-119.524,36.1259,11,652,109,221,78,8.6511,INLAND,420179
-123.1277,39.8408,21,12353,3455,4775,1456,10.8136,<1H OCEAN,500000
-117.0606,41.6161,4,6737,974,3134,1084,14.0996,<1H OCEAN,500000
-116.5748,34.4654,7,14033,2533,8475,3382,10.3194,INLAND,500000
-118.6137,37.4693,26,1581,356,568,165,4.7113,INLAND,305536
-116.4707,35.2491,47,8354,1157,4525,1396,8.9878,<1H OCEAN,500000
-119.3034,40.0028,50,1667,419,473,150,7.1925,<1H OCEAN,500000
-119.0077,37.9794,12,13639,2587,6805,2717,8.7899,<1H OCEAN,490350
-119.9805,38.5151,31,2938,767,443,185,8.2465,INLAND,440837
-124.0902,40.0504,17,7772,1622,4552,1480,13.0229,<1H OCEAN,500000
-123.2473,36.2721,33,14927,2277,2465,762,10.1252,INLAND,500000
-124.0288,41.1518,11,9608,2423,4865,2081,3.6426,<1H OCEAN,433392
-117.8459,37.5605,28,6947,1148,1202,540,1.8822,INLAND,227856
-121.1373,34.0348,32,1080,225,305,117,6.9411,<1H OCEAN,500000
-119.1524,39.0915,1,12206,1630,4865,2179,1.2185,INLAND,250023
-115.0747,40.0067,47,3349,774,1205,460,5.4562,<1H OCEAN,399672
-121.8022,35.5276,28,8476,2033,2084,826,6.1523,<1H OCEAN,494438
-120.1559,40.6075,42,13541,2547,4291,1406,6.2582,INLAND,444353
-116.6283,41.0677,7,8092,2361,4158,1399,14.7109,INLAND,500000
-122.0117,35.1529,2,4344,1204,2105,586,5.2546,INLAND,290949
-123.5633,41.7951,42,1368,338,254,105,4.7132,NEAR OCEAN,386399
-121.3887,33.8727,24,12556,3119,6575,2868,2.8113,NEAR OCEAN,422153
-122.7023,34.4489,4,3329,550,587,219,8.1541,<1H OCEAN,500000
-114.8485,34.2817,44,3845,915,1620,516,3.1514,NEAR OCEAN,421559
-116.091,40.9535,19,2726,424,763,214,9.6281,INLAND,499637
-117.8766,38.7003,26,11259,1642,4997,1514,3.1722,<1H OCEAN,358500
-115.4437,33.9798,11,3716,1114,1042,313,9.0734,NEAR BAY,500000
-116.1365,36.689,40,3567,827,2291,853,12.5678,NEAR OCEAN,500000
-122.4433,38.3338,50,14189,2803,4325,1898,1.5953,NEAR BAY,444336
-115.228,33.3346,43,7538,1295,2042,530,6.8765,<1H OCEAN,500000
-118.8379,40.8447,11,14086,3221,4074,1019,7.4547,<1H OCEAN,500000
-116.098,40.1039,45,10586,1364,6332,2343,12.075,INLAND,500000
-115.1919,37.2989,3,3755,514,1757,539,7.5508,INLAND,406276
-121.1,41.641,12,14357,1807,7398,3152,8.9455,<1H OCEAN,500000
-123.2253,36.477,3,5311,1114,3234,1020,12.0769,NEAR OCEAN,500000
-122.0205,41.8006,42,6952,1585,4212,1297,8.8366,INLAND,500000
-119.985,38.8284,27,645,84,335,101,6.0162,INLAND,329163
-115.9899,38.5159,49,6564,1639,1633,455,2.2018,INLAND,309535
-115.5533,34.11,2,3826,617,2187,801,11.2188,INLAND,467623
-124.2789,40.8401,49,4216,1025,1061,300,13.1959,<1H OCEAN,500000
-119.1302,36.5684,16,4075,1209,2124,711,14.5809,ISLAND,500000
-120.0841,34.075,2,5697,1392,2807,960,13.9724,INLAND,500000
-122.0801,32.6685,30,11729,3272,6209,1577,12.1639,<1H OCEAN,500000
-123.125,37.8117,20,6438,1871,2680,679,10.0086,NEAR OCEAN,500000
-120.8996,37.5076,38,461,95,216,76,11.9404,NEAR BAY,500000
-114.7135,39.3119,28,10240,2523,6416,2497,7.0492,NEAR OCEAN,479192
-121.0469,40.9184,25,5192,1419,1041,456,9.3269,NEAR OCEAN,500000
-119.048,33.2964,32,13582,2501,4134,1181,5.8818,INLAND,329387
-117.1651,39.4261,10,4225,705,1925,521,5.5739,NEAR BAY,475881
-120.6337,34.3117,42,10658,3094,6736,1754,11.5937,<1H OCEAN,500000
-114.4184,40.6169,40,14044,3521,2777,936,7.3551,NEAR OCEAN,500000
-114.5138,40.2492,33,8483,1353,1368,512,3.9703,INLAND,323528
-121.7768,37.6335,13,4422,888,786,328,3.8271,<1H OCEAN,372699
-119.2681,39.2263,41,4375,1152,770,297,13.0284,INLAND,500000
-121.275,35.5049,42,14335,3131,8657,2525,10.4886,INLAND,500000
-121.4389,36.979,47,11701,2773,5974,2045,8.6446,INLAND,500000
-123.973,40.2734,37,9374,2396,4579,1978,6.6131,<1H OCEAN,500000
-118.1203,36.8671,16,3643,845,1498,472,7.0314,NEAR OCEAN,487116
-119.2126,35.9133,45,5211,1131,2819,985,1.8041,<1H OCEAN,323846
-123.8239,37.1956,22,10925,2785,2488,1098,7.3687,INLAND,389439
-121.5022,40.3355,20,893,224,308,122,12.1364,NEAR OCEAN,500000
-115.0675,35.701,50,12512,2920,4942,1974,6.4318,INLAND,353419
-121.9017,34.1834,43,8547,1579,1753,526,6.3701,INLAND,363243
-122.8692,39.2429,27,11980,2312,4309,1434,1.22,<1H OCEAN,283568
-119.3478,40.3142,41,2012,592,620,165,7.4097,INLAND,451316
-114.2767,33.496,16,14041,1968,2355,874,1.3547,NEAR BAY,337085
-121.8762,34.8048,34,14454,2433,3156,854,8.9849,NEAR BAY,500000
-117.4808,33.8845,32,14221,2966,7565,3155,8.095,INLAND,436467
-116.5662,35.8206,26,13568,3671,2157,890,12.7601,<1H OCEAN,500000
-121.9213,36.7833,25,5924,885,3655,1303,9.1449,<1H OCEAN,500000
-116.9076,39.589,2,12506,2124,2416,672,5.528,<1H OCEAN,425746
-120.5913,38.6708,12,1607,211,883,225,8.2272,INLAND,396418
-117.8878,38.3867,40,8232,2033,4933,2019,10.7959,<1H OCEAN,500000
-117.8753,35.8623,9,9608,1564,5962,2206,2.3155,<1H OCEAN,343941
-118.8744,40.4596,12,14772,2806,8622,3381,9.695,INLAND,500000
-123.4272,36.9801,26,1610,321,472,146,13.8328,<1H OCEAN,500000
-115.8132,41.7536,9,3697,1036,1170,411,5.1878,INLAND,349101
-121.0716,38.5109,10,4572,887,1660,663,9.7728,NEAR BAY,500000
-122.4438,33.7369,32,7594,1109,1668,571,12.4986,INLAND,500000
-123.9333,38.9061,34,13232,2836,2132,789,8.1653,NEAR OCEAN,500000
-118.3111,35.606,48,751,220,439,179,11.0517,NEAR OCEAN,500000
-117.4253,39.0015,20,11786,2703,5033,1474,5.3541,<1H OCEAN,431237
-124.1805,33.2046,39,9568,2841,4347,1144,5.2848,<1H OCEAN,454750
-119.1164,34.1939,2,13126,3562,8052,2869,10.3462,<1H OCEAN,500000
-122.0352,40.5939,1,4532,573,2186,573,10.8757,<1H OCEAN,500000
-117.7563,34.6855,51,1197,285,593,239,14.1181,INLAND,500000
-122.568,40.4182,36,4276,733,2323,914,4.1477,NEAR BAY,409304
-117.2886,35.1752,24,14590,3220,3037,1294,7.555,NEAR BAY,500000
-120.3976,38.5931,27,6299,1072,2079,785,4.5072,<1H OCEAN,397404
-114.7766,39.075,2,5755,1051,3649,961,2.1213,NEAR BAY,397976
-122.9445,37.369,31,11123,3183,6801,2044,6.6452,<1H OCEAN,408059
-120.8643,35.4199,14,14644,2301,8669,3568,6.2371,NEAR OCEAN,488182
-123.1903,34.5489,2,12329,3419,4636,1313,4.7861,<1H OCEAN,452148
-114.8996,32.862,29,4252,533,2460,958,5.1579,<1H OCEAN,435478
-115.3836,35.4071,15,5503,750,958,388,6.0458,INLAND,312159
-121.7138,38.6897,12,8318,2277,1865,589,14.8437,NEAR OCEAN,500000
-117.605,41.3701,37,13879,3240,4954,1557,11.9614,<1H OCEAN,500000
-115.998,40.7393,28,6302,1603,2468,892,1.9996,<1H OCEAN,331675
-118.6758,39.751,20,13709,2161,3862,1630,13.2138,NEAR BAY,500000
-118.937,39.9614,39,5690,1232,1867,550,9.8662,NEAR BAY,500000
-121.8783,38.8009,24,8764,2214,2027,888,13.4683,<1H OCEAN,500000
-123.3985,34.9967,21,5816,1354,2294,848,5.7839,INLAND,398634
-115.1805,41.0776,10,2448,501,1338,599,7.5033,<1H OCEAN,440302
-115.1477,38.8549,46,1048,306,503,134,13.5472,INLAND,500000
-117.8797,37.8181,14,10948,2646,2232,614,4.816,INLAND,339999
-120.8851,33.5933,37,13833,3920,5447,2262,13.817,INLAND,500000
-120.7811,36.7523,18,10714,2693,5344,2260,12.599,INLAND,500000
-116.9307,36.8774,24,6554,1654,2719,921,14.7278,INLAND,500000
-115.1815,40.6769,14,8895,1195,3076,1208,5.5396,INLAND,394452
-115.284,37.6885,34,8270,1527,3812,1614,4.3005,INLAND,297389
-116.3797,36.1258,12,11581,3179,7346,1899,5.6321,INLAND,388333
-117.7884,41.7319,22,9094,1472,1795,654,14.3651,INLAND,500000
-123.4901,33.5908,6,3825,538,1319,554,5.663,<1H OCEAN,370112
-122.6982,36.522,36,14577,2604,5150,1697,8.913,INLAND,496855
-115.1668,32.945,45,514,82,225,69,6.6515,NEAR OCEAN,432058
-118.1523,39.5051,36,2576,738,582,238,6.5471,INLAND,441869
-124.256,41.1799,22,9432,2605,2247,712,3.7073,INLAND,326143
-123.313,35.1824,14,4578,961,1339,335,8.5191,<1H OCEAN,500000
-117.569,40.6184,16,11382,1491,7147,3158,12.8917,INLAND,500000
-124.2983,35.2969,36,8649,2150,4472,1647,1.6928,<1H OCEAN,358731
-122.7065,41.1112,25,774,179,372,153,13.4492,NEAR BAY,500000
-118.7419,39.6372,32,13061,3849,7294,3027,10.3166,INLAND,478152
-117.2788,40.1161,33,13530,2984,2892,761,9.6343,<1H OCEAN,500000
-117.687,32.7193,45,9944,1795,5764,1637,9.7626,INLAND,500000
-122.058,41.6004,36,12910,2755,5776,1803,5.1478,NEAR OCEAN,467489
-117.0715,39.3807,20,5785,1713,1837,577,6.812,<1H OCEAN,453530
-121.9253,35.4147,18,5692,1396,3175,1212,12.1901,INLAND,500000
-121.0244,40.3463,38,9149,2204,5043,1889,5.2893,INLAND,411423
-116.7209,35.1963,3,3010,491,1724,601,7.5803,NEAR OCEAN,440704
-117.7108,40.7539,23,8334,2115,1731,505,1.2749,<1H OCEAN,303220
-115.6709,33.6083,32,9496,2421,6026,1966,11.2698,INLAND,500000
-117.6292,39.1646,45,5870,1039,3697,1326,6.8478,NEAR BAY,500000
-118.5419,37.6326,16,7915,1638,2601,893,8.355,NEAR BAY,500000
-123.3926,33.4574,5,6767,1170,1238,341,2.6057,INLAND,195688
-120.5919,34.8238,4,12916,2151,3016,1145,14.884,NEAR BAY,500000
-121.6396,32.6666,21,3659,456,2365,625,5.2345,INLAND,303485
-121.8564,36.9564,40,6317,1082,2725,887,9.8899,INLAND,500000
-114.4058,35.3819,51,4192,921,1376,539,9.1373,INLAND,455484
-120.3325,38.1746,14,8037,966,2363,600,11.9913,<1H OCEAN,500000
-115.2333,35.344,39,403,68,112,40,5.1137,INLAND,392571
-117.8998,35.3692,31,14731,4104,7101,2250,11.583,INLAND,500000
-116.227,39.536,14,2975,674,1070,269,6.355,NEAR OCEAN,418749
-119.213,33.0025,6,10724,2460,6785,1954,6.7563,NEAR OCEAN,500000
-118.454,41.0372,12,2192,422,1078,472,10.418,INLAND,460854
-119.3165,40.5613,16,2443,590,1333,472,11.98,<1H OCEAN,500000
-122.3546,38.8274,17,8698,1341,2577,1158,10.3361,<1H OCEAN,500000
-116.9665,38.1263,45,1887,504,357,126,13.5983,<1H OCEAN,500000
-121.4805,40.9376,23,4309,607,1697,608,4.9922,INLAND,319247
-124.1015,34.2921,14,2060,490,633,207,13.6086,<1H OCEAN,500000
-117.7533,33.2923,7,10353,1878,2599,810,2.8321,INLAND,328967
-122.5399,34.8014,46,5376,1368,3367,1011,10.2334,INLAND,500000
-114.7385,40.019,32,922,201,342,108,8.6668,NEAR OCEAN,500000
-114.6008,32.8759,15,9171,1847,2176,744,7.9249,NEAR OCEAN,461721
-115.0001,38.0284,44,13721,2064,3420,986,5.3528,INLAND,383583
-120.567,41.9071,17,8920,2092,2589,763,8.0523,<1H OCEAN,465674
-124.192,40.5935,41,5093,1504,3308,1006,3.2648,INLAND,374859
-114.8626,37.4516,47,543,145,154,52,6.1705,<1H OCEAN,419508
-119.974,33.1482,44,12178,1592,3828,1456,2.3815,<1H OCEAN,391130
-114.4708,40.3649,34,12074,2266,5791,2439,9.0059,<1H OCEAN,500000
-114.5018,38.1804,5,5598,1604,1662,510,2.3408,<1H OCEAN,345428
-115.6322,33.6304,45,8600,1810,2217,635,3.2448,<1H OCEAN,424564
-121.3407,33.4323,27,4936,1180,1131,368,2.1965,<1H OCEAN,425379
-120.4143,41.1005,52,3606,1025,1104,473,6.3383,<1H OCEAN,460746
-115.6514,38.8405,23,9703,2690,1969,496,12.7874,INLAND,500000
-121.1111,40.3453,40,10691,2248,1703,656,13.6965,NEAR BAY,500000
-122.6178,40.8124,14,11728,2331,6477,2237,2.0065,NEAR OCEAN,342204
-118.6595,37.9247,15,14806,2682,3241,914,9.8837,<1H OCEAN,500000
-114.7825,37.414,43,10339,2578,5562,1747,10.5814,INLAND,500000
-117.2366,36.596,33,1119,192,614,181,8.4728,NEAR OCEAN,500000
-118.524,35.5293,31,6019,993,2521,1072,10.3378,<1H OCEAN,500000
-123.3569,36.6352,35,2244,413,684,236,4.2717,NEAR OCEAN,438266
-118.0646,39.8245,17,618,93,137,49,7.855,INLAND,483281
-114.2316,38.2081,28,1949,477,1010,372,6.4723,NEAR BAY,500000
-122.9183,40.9397,19,11234,2594,5063,1913,2.2559,NEAR OCEAN,333661
-119.0527,36.7178,46,7578,1568,3620,1263,9.7578,INLAND,500000
-115.3832,38.2566,23,13876,2640,2141,542,7.933,INLAND,442567
-116.7793,38.4843,32,1299,368,797,252,4.8524,<1H OCEAN,465006
-117.2265,38.112,40,3592,449,657,188,7.6316,<1H OCEAN,484647
-117.1706,39.1548,13,2972,768,990,382,11.8542,INLAND,500000
-120.676,34.7819,20,10872,3069,3819,998,12.2232,<1H OCEAN,500000
-121.3495,37.3662,35,14644,2933,2206,800,10.0934,<1H OCEAN,500000
-116.0783,33.5297,5,6984,1530,2783,812,7.5485,<1H OCEAN,500000
-116.0706,36.1644,9,1745,506,918,403,9.0605,NEAR OCEAN,500000
-115.4885,37.1341,29,1270,200,713,226,6.3902,<1H OCEAN,500000
-115.0167,38.6809,6,6722,1435,3963,1248,2.7718,<1H OCEAN,362382
-119.1241,41.485,25,2050,421,807,350,6.3987,INLAND,429402
-119.2245,38.1961,31,13607,2265,6331,2111,8.4247,INLAND,463699
-116.1914,39.5398,22,5253,1404,996,440,9.3837,<1H OCEAN,500000
-117.7074,37.3089,2,12590,3549,4960,1263,14.1012,NEAR BAY,500000
-117.1759,38.5106,45,3139,818,713,221,11.8827,INLAND,500000
-116.217,33.2168,5,13657,2119,4572,1752,3.1279,INLAND,339696
-115.2541,34.9413,27,10295,1396,3239,1386,3.4386,<1H OCEAN,394225
-120.8957,35.9514,25,7394,1693,2674,805,2.4069,INLAND,347596
-120.5115,36.9914,8,6051,788,2637,1149,11.3345,NEAR OCEAN,500000
-123.3895,32.9791,1,6873,1657,4133,1524,10.8857,<1H OCEAN,500000
-118.44,33.8662,20,878,189,304,124,14.8091,INLAND,500000
-123.9827,35.1521,44,14456,3459,9260,3050,8.3083,<1H OCEAN,500000
-119.5916,41.6824,23,1188,268,629,183,12.5698,NEAR BAY,500000
-118.8042,35.6647,32,13593,2665,5515,2383,9.0702,<1H OCEAN,500000
-121.4215,37.0812,11,10867,1696,5129,2239,13.2372,NEAR OCEAN,500000
-118.3117,34.3933,39,9999,1750,2010,702,11.0943,<1H OCEAN,500000
-124.0383,38.2913,47,11261,2414,6444,1619,10.0004,INLAND,500000
-123.9683,35.1884,24,1702,403,750,203,8.9117,INLAND,364142
-115.943,34.4957,11,1989,517,1278,465,11.1216,<1H OCEAN,500000
-120.6689,37.4058,29,5481,1414,2566,653,6.8752,INLAND,444510
-123.0514,32.6018,26,5227,1542,2964,976,2.3521,<1H OCEAN,399179
-119.0127,32.622,16,1625,278,893,277,1.5598,<1H OCEAN,252904
-116.4807,34.6092,35,13549,1799,4372,1717,7.7063,NEAR OCEAN,500000
-122.1443,32.8952,20,14466,2635,4047,1056,9.3901,<1H OCEAN,500000
-117.9841,33.5654,46,6854,1739,2503,870,2.1039,INLAND,279346
-123.4777,35.7353,3,2640,524,1012,370,5.0166,<1H OCEAN,348344
-123.8218,40.0943,1,10434,2787,2817,1052,5.5085,<1H OCEAN,412221
-118.9196,37.9273,47,7056,1544,4214,1394,8.8791,INLAND,482833
-118.8247,37.3691,1,7567,2174,3187,990,4.8988,INLAND,308289
-117.8355,35.3088,17,9670,2810,6181,2388,2.3391,<1H OCEAN,315198
-116.9293,41.3085,2,13690,1813,7598,3187,3.308,INLAND,306619
-114.3768,36.2819,29,2794,564,1195,464,3.4353,<1H OCEAN,319427
-119.0734,33.3687,20,4889,1123,3048,1330,12.7977,NEAR OCEAN,500000
-121.0494,38.3504,6,2636,437,1060,417,4.9805,<1H OCEAN,394150
-116.2232,33.6201,8,5717,1104,3393,1367,11.0057,<1H OCEAN,500000
-121.5821,35.7951,29,12195,2950,4013,1138,8.9497,NEAR OCEAN,500000
-119.8637,37.3197,48,10597,1704,3595,1200,14.6785,<1H OCEAN,500000
-123.5482,40.7677,51,9419,2150,3382,1173,4.8195,<1H OCEAN,387380
-124.0909,37.1893,33,6510,1598,2755,829,3.2172,INLAND,273543
-114.5117,39.1512,3,3739,509,1595,567,1.7285,NEAR OCEAN,324554
-115.8063,41.8825,35,13447,2817,5354,1649,4.3734,NEAR BAY,500000
-117.2371,33.786,5,14944,2500,4528,1754,10.577,INLAND,500000
-120.1705,35.1325,27,3683,922,2259,777,2.1936,INLAND,231487
-122.5789,36.259,44,7571,1166,3363,1149,4.4258,INLAND,409052
-122.7512,36.5152,12,2441,684,863,385,12.9743,INLAND,500000
-121.7925,36.4136,20,6578,1299,3128,1027,9.1613,<1H OCEAN,500000
-118.7369,41.0815,45,2965,461,1583,510,1.9733,NEAR BAY,383484
-117.0468,39.2619,20,9565,1901,6029,1891,1.6676,<1H OCEAN,280649
-117.6028,38.2643,9,11622,2249,4646,1992,1.8557,<1H OCEAN,363158
-121.4891,35.4581,39,11742,2315,2419,845,14.1863,NEAR OCEAN,500000
-114.5913,40.2936,4,5111,1152,1893,700,12.8982,INLAND,500000
-116.8087,41.5276,51,603,128,234,66,12.8292,<1H OCEAN,500000
-118.6845,40.2693,19,13380,1966,8007,2868,13.939,<1H OCEAN,500000
-118.0982,32.5647,38,11117,1465,3862,1177,8.0736,INLAND,480166
-120.0617,38.5322,27,3582,900,2244,888,4.4628,INLAND,359129
-121.8182,33.0307,45,4363,963,1712,713,6.6189,INLAND,403337
-120.712,34.9715,43,7830,1445,4986,1959,11.0641,<1H OCEAN,500000
-116.6048,33.1095,13,287,76,44,17,13.2645,NEAR BAY,500000
-124.2029,38.2257,13,14752,2800,8842,3116,7.0913,<1H OCEAN,405181
-123.1637,39.0039,22,14536,3826,8947,3511,8.4953,INLAND,478931
-123.8799,33.6262,28,9550,1671,6021,2014,14.045,INLAND,500000
-123.9338,36.1581,52,6016,800,941,357,2.505,<1H OCEAN,388980
-115.6072,36.8386,47,5670,1632,1337,403,13.0722,<1H OCEAN,500000
-117.1586,36.0191,45,14675,2803,6998,1847,3.2303,NEAR BAY,400260
-119.5039,33.6876,22,6476,1701,1053,350,7.7741,NEAR OCEAN,497694
-123.3501,36.4881,43,5939,1011,1079,369,4.0579,<1H OCEAN,394287
-119.3257,39.6111,19,4473,1057,1165,350,9.4413,NEAR OCEAN,500000
-119.5111,33.2175,8,11249,3118,4569,1807,8.82,<1H OCEAN,500000
-122.5799,33.3037,52,9773,1246,4133,1094,6.3201,INLAND,422468
-119.916,35.8849,8,6723,1811,1123,330,13.0862,<1H OCEAN,500000
-120.2773,41.4022,42,5203,1159,1223,488,10.2374,NEAR OCEAN,500000
-118.056,38.8346,26,8238,1889,3293,1111,11.0969,<1H OCEAN,500000
-117.8593,38.9295,48,14985,3209,6697,2618,3.1092,INLAND,355832
-123.887,35.952,51,13073,3626,2930,1065,13.3643,NEAR OCEAN,500000
-120.5215,38.1304,26,6806,869,2378,1046,3.3386,<1H OCEAN,356843
-117.9537,32.6452,23,13477,2250,8115,2998,4.119,INLAND,304918
-119.2079,38.5293,43,13619,3781,8844,2237,2.7928,<1H OCEAN,390679
-115.5967,41.1349,13,14657,3743,9433,3023,7.165,INLAND,489029
-117.6182,38.3082,28,2264,278,1337,372,13.4279,<1H OCEAN,500000
-122.6848,40.7628,9,5515,1175,1915,832,4.5343,INLAND,313530
-123.6288,39.3553,20,10766,2318,5310,1437,6.2325,NEAR BAY,500000
